Hellinger_fidelity,TVD,benchmark,compiler,depth,execution_index,logical_abstract_2q_gates,routing_induced_2q_overhead,routing_induced_swaps,semantic_fidelity,status
0.745065,0.407166,CrossEnt_9_INST_5,PROMETHEUS,986,0,72,1092,0,,COMPILED_UNVERIFIED
0.901119,0.246969,QAOA_6_INST_1,SABRE_O3,42,1,6,15,0,,COMPILED_UNVERIFIED
0.905085,0.224779,CrossEnt_6_INST_1,TKET,229,2,30,30,27,,COMPILED_UNVERIFIED
0.643855,0.441354,CrossEnt_9_INST_5,SABRE_O3,264,3,72,121,0,,COMPILED_UNVERIFIED
0.926257,0.189312,QAOA_9_INST_3,SABRE_O3,74,4,11,22,0,,COMPILED_UNVERIFIED
0.859088,0.286812,QAOA_6_INST_4,TKET,218,5,10,17,7,,COMPILED_UNVERIFIED
0.892353,0.242357,CrossEnt_7_INST_2,TKET,279,6,42,44,38,,COMPILED_UNVERIFIED
0.95994,0.142023,QAOA_7_INST_5,TKET,123,7,7,12,5,,COMPILED_UNVERIFIED
0.758416,0.399346,CrossEnt_7_INST_4,PROMETHEUS,577,8,42,420,0,,COMPILED_UNVERIFIED
0.914222,0.213569,QAOA_8_INST_4,PROMETHEUS,245,9,13,76,0,,COMPILED_UNVERIFIED
0.546946,0.559307,CrossEnt_7_INST_3,SABRE_O3,190,10,42,72,0,,COMPILED_UNVERIFIED
0.87587,0.268193,QAOA_8_INST_5,PROMETHEUS,238,11,10,91,0,,COMPILED_UNVERIFIED
0.970131,0.117099,QAOA_7_INST_3,SABRE_O3,46,12,7,13,0,,COMPILED_UNVERIFIED
0.67657,0.467482,CrossEnt_8_INST_4,SABRE_O3,222,13,56,91,0,,COMPILED_UNVERIFIED
0.918525,0.214298,QAOA_8_INST_3,PROMETHEUS,190,14,10,76,0,,COMPILED_UNVERIFIED
0.974398,0.108262,QAOA_6_INST_3,PROMETHEUS,150,15,6,30,0,,COMPILED_UNVERIFIED
0.708818,0.430479,QAOA_9_INST_5,SABRE_O3,67,16,13,22,0,,COMPILED_UNVERIFIED
0.872216,0.275207,QAOA_7_INST_4,TKET,219,17,12,24,12,,COMPILED_UNVERIFIED
0.544672,0.553378,CrossEnt_9_INST_4,PROMETHEUS,986,18,72,1092,0,,COMPILED_UNVERIFIED
0.89337,0.249891,QAOA_6_INST_2,SABRE_O3,42,19,6,15,0,,COMPILED_UNVERIFIED
0.935619,0.185368,QAOA_7_INST_1,PROMETHEUS,205,20,8,68,0,,COMPILED_UNVERIFIED
0.772337,0.398112,CrossEnt_7_INST_2,PROMETHEUS,577,21,42,420,0,,COMPILED_UNVERIFIED
0.585266,0.532142,CrossEnt_7_INST_5,SABRE_O3,192,22,42,72,0,,COMPILED_UNVERIFIED
0.896705,0.237382,CrossEnt_6_INST_3,TKET,229,23,30,30,27,,COMPILED_UNVERIFIED
0.905271,0.220629,CrossEnt_7_INST_3,TKET,279,24,42,44,38,,COMPILED_UNVERIFIED
0.96138,0.14904,QAOA_6_INST_1,TKET,112,25,6,10,4,,COMPILED_UNVERIFIED
0.958921,0.13915,QAOA_7_INST_3,TKET,95,26,7,10,3,,COMPILED_UNVERIFIED
0.955303,0.152642,QAOA_6_INST_4,SABRE_O3,96,27,10,16,0,,COMPILED_UNVERIFIED
0.683464,0.475206,CrossEnt_8_INST_2,PROMETHEUS,778,28,56,735,0,,COMPILED_UNVERIFIED
0.54274,0.531471,QAOA_9_INST_1,SABRE_O3,153,29,17,55,0,,COMPILED_UNVERIFIED
0.969915,0.132303,QAOA_6_INST_2,TKET,112,30,6,10,4,,COMPILED_UNVERIFIED
0.686789,0.44793,CrossEnt_9_INST_2,TKET,429,31,72,102,72,,COMPILED_UNVERIFIED
0.892716,0.25628,QAOA_7_INST_1,TKET,145,32,8,12,4,,COMPILED_UNVERIFIED
0.712408,0.43484,CrossEnt_6_INST_2,SABRE_O3,148,33,30,41,0,,COMPILED_UNVERIFIED
0.917668,0.21223,QAOA_8_INST_2,PROMETHEUS,219,34,10,82,0,,COMPILED_UNVERIFIED
0.501023,0.599063,CrossEnt_8_INST_5,PROMETHEUS,778,35,56,735,0,,COMPILED_UNVERIFIED
0.773152,0.370631,CrossEnt_8_INST_5,TKET,320,36,56,58,52,,COMPILED_UNVERIFIED
0.880282,0.268759,QAOA_8_INST_5,SABRE_O3,75,37,10,23,0,,COMPILED_UNVERIFIED
0.907882,0.221146,CrossEnt_6_INST_5,TKET,229,38,30,30,27,,COMPILED_UNVERIFIED
0.936174,0.17629,QAOA_6_INST_4,PROMETHEUS,221,39,10,52,0,,COMPILED_UNVERIFIED
0.394759,0.665428,CrossEnt_9_INST_1,PROMETHEUS,986,40,72,1092,0,,COMPILED_UNVERIFIED
0.984268,0.095217,QAOA_6_INST_5,PROMETHEUS,101,41,6,18,0,,COMPILED_UNVERIFIED
0.839351,0.311955,CrossEnt_6_INST_3,PROMETHEUS,419,42,30,240,0,,COMPILED_UNVERIFIED
0.650026,0.487097,CrossEnt_8_INST_2,SABRE_O3,221,43,56,91,0,,COMPILED_UNVERIFIED
0.810108,0.340609,CrossEnt_9_INST_5,TKET,429,44,72,102,72,,COMPILED_UNVERIFIED
0.886725,0.242775,QAOA_8_INST_3,TKET,197,45,10,18,8,,COMPILED_UNVERIFIED
0.590136,0.493327,CrossEnt_9_INST_2,SABRE_O3,265,46,72,121,0,,COMPILED_UNVERIFIED
0.839242,0.301501,QAOA_9_INST_4,PROMETHEUS,391,47,16,199,0,,COMPILED_UNVERIFIED
