experiment,benchmark,compiler,1q_gates,Algorithm,Backend,Circuit_Depth,Compiler,Entropy_Delta,Execution_ID,HOP,Hellinger_distance,Hellinger_fidelity,JSD,Job_ID,KL_Divergence,PROM_2Q_Gates,PROM_Depth,PROM_Entropy,PROM_HOP,PROM_KL_Div,PROM_XEB,Qubits,Renyi2_entropy,SABRE_2Q_Gates,SABRE_Depth,SABRE_Entropy,SABRE_HOP,SABRE_KL_Div,SABRE_XEB,Shannon_Entropy,Shannon_entropy,TVD,abstract_2q_operations,algorithmic_success,algorithmic_success_margin_95,bootstrap_uncertainty,compile_time_sec,depth,execution_index,final_native_2q_operations,gate_count,heavy_output_probability,logical_1q_gates,logical_abstract_2q_gates,logical_depth,logical_gate_count,min_entropy,native_2q_operations,one_qubit_depth,routing_induced_2q_overhead,routing_induced_swaps,scheduled_duration_dt,semantic_fidelity,status,total_2q_expansion,two_qubit_depth
03-micro-gradient-scaling,QFT_5_NONTRIVIAL,TKET,26.0,,,,,,,,0.0287,0.998353,0.001188,,,,,,,,,,4.990578,,,,,,,,4.995258,0.0349,29.0,,,"{'Hellinger_fidelity_std': 0.000427, 'TVD_std': 0.004, 'JSD_std': 0.000308}",0.766225,191.0,0.0,47.0,55.0,"{'value': 0.1199, 'status': 'VALID'}",7.0,12.0,12.0,19.0,4.816037,,15.0,17.0,,,,COMPILED_UNVERIFIED,3.916667,33.0
03-micro-gradient-scaling,QFT_3_NONTRIVIAL,PROMETHEUS,125.0,,,,,,,,0.031549,0.99801,0.001436,,,,,,,,,,2.98839,,,,,,,,2.994232,0.04,12.0,,,"{'Hellinger_fidelity_std': 0.000453, 'TVD_std': 0.004914, 'JSD_std': 0.000327}",1.31945,89.0,1.0,12.0,137.0,"{'value': 0, 'status': 'VALID'}",4.0,4.0,8.0,8.0,2.776948,,79.0,8.0,,,,COMPILED_UNVERIFIED,3.0,12.0
03-micro-gradient-scaling,QAOA_9_MAXCUT,PROMETHEUS,497.0,,,,,,,,0.22075,0.904913,0.067422,,,,,,,,,,8.195936,,,,,,,,8.644291,0.234195,119.0,,,"{'Hellinger_fidelity_std': 0.002843, 'TVD_std': 0.004313, 'JSD_std': 0.002014}",0.064024,324.0,2.0,119.0,616.0,"{'value': 0.6905, 'status': 'VALID'}",18.0,13.0,10.0,31.0,5.368849,,252.0,106.0,,,,COMPILED_UNVERIFIED,9.153846,83.0
03-micro-gradient-scaling,QFT_8_NONTRIVIAL,TKET,65.0,,,,,,,,0.076649,0.988284,0.008448,,,,,,,,,,7.934199,,,,,,,,7.966383,0.085819,86.0,,,"{'Hellinger_fidelity_std': 0.00117, 'TVD_std': 0.003882, 'JSD_std': 0.000843}",1.353165,362.0,3.0,146.0,151.0,"{'value': 0.3289, 'status': 'VALID'}",11.0,32.0,18.0,43.0,7.333516,,27.0,54.0,,,,COMPILED_UNVERIFIED,4.5625,63.0
03-micro-gradient-scaling,QAOA_9_MAXCUT,SABRE_O3,191.0,,,,,,,,0.358989,0.758862,0.173044,,,,,,,,,,8.265664,,,,,,,,8.623022,0.387771,54.0,,,"{'Hellinger_fidelity_std': 0.004602, 'TVD_std': 0.004674, 'JSD_std': 0.003365}",0.009416,102.0,4.0,54.0,245.0,"{'value': 0.5583, 'status': 'VALID'}",18.0,13.0,10.0,31.0,6.221623,,68.0,41.0,,,,COMPILED_UNVERIFIED,4.153846,33.0
03-micro-gradient-scaling,QAOA_5_MAXCUT,SABRE_O3,83.0,,,,,,,,0.162503,0.947883,0.028326,,,,,,,,,,4.243636,,,,,,,,4.537604,0.088296,19.0,,,"{'Hellinger_fidelity_std': 0.002271, 'TVD_std': 0.004268, 'JSD_std': 0.001261}",0.008598,54.0,5.0,19.0,102.0,"{'value': 0.811, 'status': 'VALID'}",10.0,7.0,8.0,17.0,3.190997,,39.0,12.0,,,,COMPILED_UNVERIFIED,2.714286,14.0
03-micro-gradient-scaling,QAOA_6_MAXCUT,TKET,24.0,,,,,,,,0.30625,0.821219,0.13133,,,,,,,,,,5.758402,,,,,,,,5.882723,0.354679,29.0,,,"{'Hellinger_fidelity_std': 0.003599, 'TVD_std': 0.004252, 'JSD_std': 0.002686}",0.704588,177.0,6.0,51.0,53.0,"{'value': 0.6142, 'status': 'VALID'}",12.0,9.0,9.0,21.0,4.651088,,12.0,20.0,,,,COMPILED_UNVERIFIED,5.666667,37.0
03-micro-gradient-scaling,GHZ_3,TKET,1.0,,,,,,,,0.144004,0.958956,0.020953,,,,,,,,,,1.114582,,,,,,,,1.287703,0.0431,2.0,0.9595,0.003864,"{'Hellinger_fidelity_std': 0.001951, 'TVD_std': 0.003798, 'JSD_std': 0.001012}",0.466432,14.0,7.0,2.0,3.0,"{'value': 0, 'status': 'VALID'}",1.0,2.0,4.0,3.0,0.992517,,1.0,0.0,,,,COMPILED_UNVERIFIED,1.0,2.0
03-micro-gradient-scaling,GHZ_9,PROMETHEUS,53.0,,,,,,,,0.228289,0.898484,0.052742,,,,,,,,,,1.306288,,,,,,,,1.885698,0.1014,8.0,0.8986,0.005916,"{'Hellinger_fidelity_std': 0.003058, 'TVD_std': 0.003062, 'JSD_std': 0.00165}",1.292382,38.0,8.0,8.0,61.0,"{'value': 0, 'status': 'VALID'}",1.0,8.0,10.0,9.0,1.121863,,29.0,0.0,,,,COMPILED_UNVERIFIED,1.0,8.0
03-micro-gradient-scaling,QAOA_3_MAXCUT,SABRE_O3,42.0,,,,,,,,0.061859,0.992362,0.005514,,,,,,,,,,2.41467,,,,,,,,2.690819,0.076699,9.0,,,"{'Hellinger_fidelity_std': 0.000875, 'TVD_std': 0.004669, 'JSD_std': 0.000632}",0.007334,38.0,9.0,9.0,51.0,"{'value': 0.7217, 'status': 'VALID'}",6.0,3.0,6.0,9.0,1.79636,,28.0,6.0,,,,COMPILED_UNVERIFIED,3.0,9.0
